22841-22834-MA0000517,adult_old,MPATH458, skin 133A
Probe Array Lot: 2006849
Operator Name: ec
Sample Type: 
Sample Description: 
Project: 
Comments: 
Reagents: 
Reagent Lot: 
Algorithm: Statistical
Corner+ Avg:169, Count:32
Corner- Avg:9762, Count:32
BF= Alpha1=0.05 Alpha2=0.065 Tau=0.015 Gamma1H=0.0045 Gamma1L=0.0045 Gamma2H=0.006 Gamma2L=0.006 Perturbation=1.1 TGT=2500 NF=1.000000 SF=15.616271 SFGene=All 
Background=Avg:80.00,Stdev:2.49,Max:87.7,Min:75.2 Noise=Avg:4.99,Stdev:0.45,Max:6.6,Min:4.1 RawQ=3.25 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
200009_at	11	11	39067.6	P	0.000244																															
200010_at	11	11	78666.3	P	0.000244																															
200011_s_at	11	11	10025.9	P	0.000244																															
200012_x_at	11	11	84490.4	P	0.000244																															
200013_at	11	11	78269.1	P	0.000244																															
200014_s_at	11	11	10547.5	P	0.000244																															
200015_s_at	11	11	18954.5	P	0.000732																															
200016_x_at	11	11	86027.3	P	0.000244																															
200017_at	11	11	88929.3	P	0.000244																															
200018_at	11	11	90842.2	P	0.000244																															
200019_s_at	11	11	67185.3	P	0.000244																															
200020_at	11	11	12943.9	P	0.000244																															
200021_at	11	11	75627.5	P	0.001953																															
200022_at	11	11	105087.1	P	0.000244																															
200023_s_at	11	11	29621.2	P	0.000244																															
200024_at	11	11	81495.8	P	0.000244																															
200025_s_at	11	11	87104.4	P	0.000244																															
200026_at	11	11	107760.3	P	0.000732																															
200027_at	11	11	17424.4	P	0.000244																															
200028_s_at	11	11	14814.0	P	0.000244																															
200029_at	11	11	93082.5	P	0.000244																															
200030_s_at	11	11	63227.1	P	0.000244																															
200031_s_at	11	11	116097.2	P	0.000244																															
200032_s_at	11	11	97295.2	P	0.000244																															
200033_at	11	11	29670.5	P	0.000244																															
200034_s_at	11	11	61890.1	P	0.000244																															
200035_at	11	11	3724.0	P	0.002930																															
200036_s_at	11	11	82286.3	P	0.000244																															
200037_s_at	11	11	15380.1	P	0.000244																															
200038_s_at	11	11	82915.8	P	0.000244																															
200039_s_at	11	11	10272.7	P	0.000244																															
200040_at	11	11	19574.2	P	0.000244																															
200041_s_at	11	11	30372.2	P	0.000244																															
200042_at	11	11	7717.3	P	0.000244																															
200043_at	11	11	25852.3	P	0.000244																															
200044_at	11	11	10858.4	P	0.000244																															
200045_at	11	11	7031.1	P	0.000244																															
200046_at	11	11	14370.5	P	0.000244																															
200047_s_at	11	11	11670.8	P	0.000244																															
200048_s_at	11	11	18309.8	P	0.000244																															
200049_at	11	11	5376.2	P	0.000244																															
200050_at	11	11	5164.6	P	0.000244																															
200051_at	11	11	2129.1	P	0.001221																															
200052_s_at	11	11	9538.6	P	0.000244																															
200053_at	11	11	6965.9	P	0.000244																															
200054_at	11	11	1146.6	P	0.002930																															
200055_at	11	11	12357.1	P	0.000244																															
200056_s_at	11	11	2312.4	P	0.000244																															
200057_s_at	11	11	38380.5	P	0.000244																															
200058_s_at	11	11	13148.7	P	0.000244																															
200059_s_at	11	11	44325.3	P	0.000244																															
200060_s_at	11	11	12899.6	P	0.000244																															
200061_s_at	11	11	99702.7	P	0.000244																															
200062_s_at	11	11	116980.0	P	0.000244																															
200063_s_at	11	11	61078.8	P	0.000244																															
200064_at	11	11	62096.5	P	0.000244																															
200065_s_at	11	11	22612.0	P	0.000244																															
200066_at	11	11	5844.2	P	0.000244																															
200067_x_at	11	11	13898.5	P	0.000244																															
200068_s_at	11	11	41912.9	P	0.000244																															
200069_at	11	11	3517.9	P	0.001953																															
200070_at	11	11	2458.4	P	0.008057																															
200071_at	11	11	4258.5	P	0.001953																															
200072_s_at	11	11	11946.6	P	0.000244																															
200073_s_at	11	11	9960.8	P	0.000244																															
200074_s_at	11	11	51609.7	P	0.000244																															
200075_s_at	11	11	7586.0	P	0.000244																															
200076_s_at	11	11	3986.7	P	0.001221																															
200077_s_at	11	11	39718.1	P	0.000244																															
200078_s_at	11	11	9559.6	P	0.002930																															
200079_s_at	11	11	20787.8	P	0.000732																															
200080_s_at	11	11	37640.1	P	0.000244																															
200081_s_at	11	11	108100.9	P	0.000244																															
200082_s_at	11	11	83141.7	P	0.000244																															
200083_at	11	11	9982.3	P	0.000732																															
200084_at	11	11	14208.1	P	0.000244																															
200085_s_at	11	11	11151.6	P	0.000244																															
200086_s_at	11	11	20068.8	P	0.000244																															
200087_s_at	11	11	25476.9	P	0.000244																															
200088_x_at	11	11	130465.3	P	0.000244																															
200089_s_at	11	11	58329.3	P	0.000244																															
200090_at	11	11	14475.1	P	0.000244																															
200091_s_at	11	11	45656.5	P	0.000244																															
200092_s_at	11	11	81591.2	P	0.000244																															
200093_s_at	11	11	18939.9	P	0.000244																															
200094_s_at	11	11	72763.9	P	0.000244																															
200095_x_at	11	11	144088.9	P	0.000244																															
200096_s_at	11	11	13517.9	P	0.000244																															
200097_s_at	11	11	16542.4	P	0.000244																															
200098_s_at	11	11	14949.4	P	0.000244																															
200099_s_at	11	11	104600.5	P	0.000244																															
1007_s_at	16	16	15544.8	P	0.000266																															
1053_at	16	16	1595.4	P	0.039365																															
117_at	16	16	1089.6	P	0.048995																															
121_at	16	16	5884.1	P	0.017001																															
1255_g_at	16	16	213.5	A	0.284747																															
1294_at	16	16	2383.6	P	0.002617																															
1316_at	16	16	1101.9	P	0.004863																															
1320_at	16	16	502.7	A	0.479380																															
1405_i_at	14	14	801.9	P	0.042142																															
1431_at	16	16	215.3	A	0.175989																															
1438_at	16	16	6616.8	P	0.000388																															
1487_at	16	16	2211.5	A	0.066865																															
1494_f_at	16	16	2110.4	P	0.011447																															
