21470-21452-fetal,normal,MA0000216 spinal column 133B
Probe Array Lot: 
Operator Name: ec
Sample Type: 
Sample Description: 
Project: 
Comments: 
Reagents: 
Reagent Lot: 
Algorithm: Statistical
Corner+ Avg:97, Count:32
Corner- Avg:8712, Count:32
BF= Alpha1=0.05 Alpha2=0.065 Tau=0.015 Gamma1H=0.0045 Gamma1L=0.0045 Gamma2H=0.006 Gamma2L=0.006 Perturbation=1.1 TGT=2500 NF=1.000000 SF=24.506239 SFGene=All 
Background=Avg:66.33,Stdev:2.48,Max:76.0,Min:61.5 Noise=Avg:3.49,Stdev:0.25,Max:4.3,Min:2.9 RawQ=2.67 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
200009_at	11	11	53235.5	P	0.000244																															
200010_at	11	11	77766.1	P	0.000244																															
200011_s_at	11	11	37490.0	P	0.000244																															
200012_x_at	11	11	91020.4	P	0.000244																															
200013_at	11	11	92359.5	P	0.000244																															
200014_s_at	11	11	17367.9	P	0.000244																															
200015_s_at	11	11	45825.7	P	0.000732																															
200016_x_at	11	11	116850.7	P	0.000244																															
200017_at	11	11	97596.6	P	0.000244																															
200018_at	11	11	119451.2	P	0.000244																															
200019_s_at	11	11	53429.2	P	0.000244																															
200020_at	11	11	26316.4	P	0.000244																															
200021_at	11	11	146928.0	P	0.001221																															
200022_at	11	11	117908.7	P	0.000732																															
200023_s_at	11	11	38000.7	P	0.000244																															
200024_at	11	11	65149.9	P	0.001221																															
200025_s_at	11	11	94657.1	P	0.000244																															
200026_at	11	11	138538.0	P	0.000732																															
200027_at	11	11	38319.2	P	0.000244																															
200028_s_at	11	11	40321.8	P	0.000244																															
200029_at	11	11	110854.4	P	0.000244																															
200030_s_at	11	11	80164.5	P	0.000244																															
200031_s_at	11	11	150677.9	P	0.000244																															
200032_s_at	11	11	139714.6	P	0.000244																															
200033_at	11	11	54845.9	P	0.000244																															
200034_s_at	11	11	82643.2	P	0.000244																															
200035_at	11	11	10288.3	P	0.002930																															
200036_s_at	11	11	54506.1	P	0.000244																															
200037_s_at	11	11	30261.0	P	0.000244																															
200038_s_at	11	11	107682.6	P	0.000244																															
200039_s_at	11	11	19512.0	P	0.000244																															
200040_at	11	11	36260.3	P	0.000244																															
200041_s_at	11	11	60583.9	P	0.000244																															
200042_at	11	11	10697.3	P	0.000244																															
200043_at	11	11	66994.3	P	0.000244																															
200044_at	11	11	21113.8	P	0.000244																															
200045_at	11	11	18155.4	P	0.000244																															
200046_at	11	11	27957.6	P	0.000244																															
200047_s_at	11	11	22378.2	P	0.000244																															
200048_s_at	11	11	23088.9	P	0.000244																															
200049_at	11	11	11102.4	P	0.000244																															
200050_at	11	11	13181.1	P	0.000732																															
200051_at	11	11	3757.5	P	0.000732																															
200052_s_at	11	11	18389.2	P	0.000244																															
200053_at	11	11	9469.8	P	0.000244																															
200054_at	11	11	2411.8	P	0.000244																															
200055_at	11	11	12050.2	P	0.000244																															
200056_s_at	11	11	7958.9	P	0.000244																															
200057_s_at	11	11	54909.1	P	0.000244																															
200058_s_at	11	11	28858.5	P	0.000244																															
200059_s_at	11	11	81311.3	P	0.000244																															
200060_s_at	11	11	28517.2	P	0.000732																															
200061_s_at	11	11	132503.5	P	0.000244																															
200062_s_at	11	11	125176.9	P	0.000244																															
200063_s_at	11	11	79212.1	P	0.000244																															
200064_at	11	11	77000.0	P	0.000732																															
200065_s_at	11	11	50410.9	P	0.000244																															
200066_at	11	11	11651.1	P	0.000732																															
200067_x_at	11	11	33911.4	P	0.000244																															
200068_s_at	11	11	72066.1	P	0.000244																															
200069_at	11	11	6823.8	P	0.000244																															
200070_at	11	11	6749.5	P	0.005859																															
200071_at	11	11	8952.3	P	0.001221																															
200072_s_at	11	11	23405.9	P	0.000244																															
200073_s_at	11	11	17292.4	P	0.000244																															
200074_s_at	11	11	42731.6	P	0.000244																															
200075_s_at	11	11	19437.8	P	0.000244																															
200076_s_at	11	11	6087.8	P	0.001953																															
200077_s_at	11	11	73757.0	P	0.000244																															
200078_s_at	11	11	26391.5	P	0.001953																															
200079_s_at	11	11	19699.7	P	0.000244																															
200080_s_at	11	11	120980.3	P	0.000244																															
200081_s_at	11	11	86109.3	P	0.000244																															
200082_s_at	11	11	97081.7	P	0.000244																															
200083_at	11	11	32943.0	P	0.000732																															
200084_at	11	11	33998.6	P	0.000244																															
200085_s_at	11	11	37558.5	P	0.000244																															
200086_s_at	11	11	27474.5	P	0.000244																															
200087_s_at	11	11	39583.6	P	0.000244																															
200088_x_at	11	11	84023.0	P	0.000244																															
200089_s_at	11	11	66086.3	P	0.000244																															
200090_at	11	11	34663.0	P	0.000244																															
200091_s_at	11	11	53943.8	P	0.000244																															
200092_s_at	11	11	97544.8	P	0.000244																															
200093_s_at	11	11	30884.7	P	0.000244																															
200094_s_at	11	11	84780.1	P	0.000244																															
200095_x_at	11	11	145604.7	P	0.000244																															
200096_s_at	11	11	15845.9	P	0.000244																															
200097_s_at	11	11	44479.3	P	0.000244																															
200098_s_at	11	11	17002.9	P	0.001221																															
200099_s_at	11	11	150971.1	P	0.000244																															
222385_x_at	11	11	9821.1	P	0.037598																															
222386_s_at	11	11	17055.5	P	0.000244																															
222387_s_at	11	11	7021.7	P	0.000732																															
222388_s_at	11	11	27606.4	P	0.000244																															
222389_s_at	11	11	9660.4	P	0.000244																															
222390_at	11	11	30334.1	P	0.000244																															
222391_at	11	11	26370.0	P	0.000244																															
